Crop,Years,Million Acres Harvested Acreage,Million Bushels Production,PYPA,PPYPA,Yield per harvested acre
Sorghum,2000,7.726,470.526,69.7,67.3,60.9
Sorghum,2001,8.579,514.04,60.9,69.7,59.9
Sorghum,2002,7.125,360.713,59.9,60.9,50.6
Sorghum,2003,7.798,411.219,50.6,59.9,52.7
Sorghum,2004,6.517,453.606,52.7,50.6,69.6
Sorghum,2005,5.736,392.739,69.6,52.7,68.5
Sorghum,2006,4.937,276.824,68.5,69.6,56.1
Sorghum,2007,6.792,497.445,56.1,68.5,73.2
Sorghum,2008,7.312,475.855,73.2,56.1,65.1
Sorghum,2009,5.502,381.605,65.1,73.2,69.4
Sorghum,2010,4.806,345.464,69.4,65.1,71.9
Sorghum,2011,3.945,212.993,71.9,69.4,54
Sorghum,2012,4.995,247.742,54,71.9,49.6
Sorghum,2013,6.585,392.331,49.6,54,59.6
Sorghum,2014,6.401,432.575,59.6,49.6,67.6
Sorghum,2015,7.851,596.751,67.6,59.6,76
Sorghum,2016,6.163,480.261,76,67.6,77.9
Sorghum,2017,5.044,361.871,77.9,76,71.7
Sorghum,2018,5.061,364.986,71.7,77.9,72.1174
Sorghum,2019,4.735,351.58,72.1174,71.7,74.2513
